Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs
4,1,"65 Tirimoana Road Te Atatu South, Auckland",160,830000,-36.885174,174.6509948,7004159,66,51,33,24,24,27,Te Atatu South
4,2,"25b Rangeview Road Sunnyvale, Auckland",922,860000,-36.8993074,174.6348866,7004028,102,39,45,36,15,36,Sunnyvale
3,2,"47c Rangeview Road Sunnyvale, Auckland",114,725000,-36.9006722,174.6350647,7004028,102,39,45,36,15,36,Sunnyvale
5,3,"23 Waikura Drive Te Atatu Peninsula, Auckland",686,1735000,-36.8360926,174.6603779,7004203,39,27,24,15,27,15,Te Atatu Peninsula
3,1,"383 West Coast Road Glen Eden, Auckland",1012,850000,-36.9085972,174.6380186,7007167,63,36,42,36,27,30,Glen Eden
5,3,"13 Thistle Close Beachlands, Auckland",470,1400000,-36.8869923,175.0062139,7007066,60,9,18,48,21,30,Beachlands
5,3,"21 Thistle Close Beachlands, Auckland",490,1350000,-36.8875673,175.0061298,7007066,60,9,18,48,21,30,Beachlands
5,2,"81 Ahutoetoe Road Millwater, Auckland",569,980000,-36.6122979,174.6567144,7001403,36,12,9,27,15,27,Wainui
4,2,"45 Kuhanui Drive Karaka, Auckland",550,1025000,-37.0779534,174.9188179,7009928,201,99,168,114,81,120,Karaka
3,2,"43 Costa Viva Crescent Karaka, Auckland",220,810000,-37.0775661,174.9201295,7009928,201,99,168,114,81,120,Karaka
5,3,"39 Silvana Drive Flat Bush, Auckland",404,1250000,-36.9644035,174.927909,7009304,69,42,60,30,24,30,Flat Bush
3,1,"15 Kirikiri Lane East Tamaki, Auckland",154,820000,-36.9337122,174.9080707,7009025,30,18,36,21,12,12,East Tamaki
3,1,"11 Arodella Crescent Ranui, Auckland",952,670000,-36.8587178,174.599451,7003540,57,27,30,18,12,15,Ranui
4,2,"44d Mountain Road Epsom, Auckland",1074,3200000,-36.8700679,174.7703548,7005559,33,27,24,9,39,54,Epsom
4,2,"10 Eyton Kay Road Hobsonville, Auckland",161,860000,-36.7959507,174.65593,7002301,51,36,57,18,6,12,Hobsonville
3,1,"268 Jervois Road Herne Bay, Auckland",473,2275000,-36.8474028,174.7324135,7004901,57,21,15,30,15,18,Herne Bay
4,2,"1/1 Woodcote Drive Glenfield, Auckland",170,920000,-36.7875914,174.7224742,7002794,39,36,36,18,30,48,Glenfield
4,2,"109 Blockhouse Bay Road Avondale, Auckland",689,1075000,-36.8952693,174.7006602,7004406,12,9,12,21,15,48,Avondale
3,1,"109a Blockhouse Bay Road Avondale, Auckland",348,1025000,-36.8952693,174.7006602,7004406,12,9,12,21,15,48,Avondale
4,2,"74 Tarrant Road Waimauku, Auckland",15230,1325000,-36.7338896,174.456874,7001370,36,12,9,24,21,18,Helensville
4,2,"45 Arrowsmith Road Waitakere, Auckland",260,1275000,-36.8465434,174.5210115,7003415,24,12,9,21,12,27,Waitakere
2,1,"14/127 Boundary Road Blockhouse Bay, Auckland",106,740000,-36.9197572,174.7118763,7007570,0,3,0,3,0,231,Blockhouse Bay
5,3,"1/134 Aberdeen Road Campbells Bay, Auckland",310,1525000,-36.7527733,174.7608761,7003148,57,21,27,27,27,27,Campbells Bay
3,1,"144 Forrest Hill Road Forrest Hill, Auckland",345,990000,-36.7663399,174.7477823,7003063,57,48,42,33,24,15,Forrest Hill
4,2,"9 Vivaldi Place Mount Roskill, Auckland",523,1225000,-36.911034,174.7241676,7007593,24,15,12,12,18,33,Mount Roskill
3,1,"5a Fir Street Waterview, Auckland",616,985000,-36.8813662,174.7009228,7004492,42,51,45,33,15,12,Waterview
4,2,"18 Routly Avenue Pukekohe, Auckland",1012,960000,-37.2203656,174.894608,7010519,24,12,9,12,24,27,Pukekohe
4,3,"35 Pinehurst Place Wattle Downs, Auckland",600,820000,-37.0520531,174.8876043,7009719,57,18,30,18,24,39,Wattle Downs
3,1,"18a Sophora Place Totara Heights, Auckland",120,780000,-37.0000106,174.900693,7009752,72,27,42,36,21,36,Totara Heights
3,2,"7 Antilla Place Half Moon Bay, Auckland",703,1380000,-36.8876708,174.8932567,7006719,54,21,27,36,24,60,Half Moon Bay
4,2,"5 Knox Road Manurewa, Auckland",984,720000,-37.020317,174.9003727,7009781,39,27,21,24,21,21,Manurewa
3,2,"14a Clyma Place Massey, Auckland",386,540000,-36.8484767,174.6098376,7003657,36,33,27,15,15,15,Massey
4,3,"1/103 Remuera Road Remuera, Auckland",222,1800000,-36.8736187,174.782018,7005727,18,42,33,9,12,15,Remuera
3,2,"4/17 Margot Street Epsom, Auckland",170,940000,-36.8780671,174.7776435,7005577,21,21,21,9,15,6,Epsom
3,2,"11 Marie Costello Way Beach Haven, Auckland",400,940000,-36.7887517,174.6926609,7002422,60,18,42,39,24,33,Beach Haven
3,2,"11 Marie Costello Way Beach Haven, Auckland",400,940000,-36.7887517,174.6926609,7002422,60,18,42,39,24,33,Beach Haven
3,1,"81a Waiatarua Road Remuera, Auckland",152,1160000,-36.8725755,174.8199281,7006072,72,15,33,33,24,48,Remuera
3,3,"156 Mokoia Road Birkenhead, Auckland",922,1650000,-36.8113451,174.715828,7004545,30,30,27,27,24,48,Chatswood
4,3,"17 Voyager Drive Gulf Harbour, Auckland",428,960000,-36.6170889,174.7922216,7001695,60,15,21,33,33,63,Gulf Harbour
4,1,"95 Shakespear Road Army Bay, Auckland",5088,1900000,-36.6083432,174.8071064,7001715,36,6,9,18,33,39,Army Bay
4,3,"9 Crosshill Court Pokeno, Auckland",523,570000,-37.2380653,175.012596,7011028,9,18,12,6,21,18,Pokeno
4,2,"1 Hua Place Tuakau, Auckland",507,850000,-37.257722,174.9388626,7010975,72,27,18,24,27,6,Tuakau
2,1,"2/519 Pakuranga Road Howick, Auckland",70,670000,-36.8989759,174.9106721,7006853,33,18,12,12,21,33,Howick
3,2,"21a Benson Road Remuera, Auckland",167,1650000,-36.8728739,174.8072187,7005981,39,12,12,24,21,24,Remuera
4,2,"7 Condliffe Place New Windsor, Auckland",956,990000,-36.902183,174.7117372,7004659,66,60,42,30,24,24,New Windsor
3,1,"1 Weldene Avenue Glenfield, Auckland",822,990000,-36.7735462,174.7230032,7002759,27,15,33,15,9,15,Glenfield
4,1,"48 Burundi Avenue Clendon Park, Auckland",613,650000,-37.0279286,174.8618223,7009491,96,27,42,15,15,24,Clendon Park
2,1,"9 Donovan Avenue Massey, Auckland",814,750000,-36.8458463,174.6094348,7003531,45,36,30,27,18,21,Massey
3,1,"21 Golf Avenue Otahuhu, Auckland",718,650000,-36.954143,174.8387028,7008379,66,48,36,30,21,36,Otahuhu
3,1,"34 Saxon Street Waterview, Auckland",1358,1820000,-36.8788108,174.6951502,7004376,33,21,33,36,30,21,Waterview
2,1,"257a Campbell Road Greenlane, Auckland",365,1175000,-36.8953984,174.7989407,7005916,30,42,33,12,6,24,Greenlane
3,2,"5c Gollan Road Mount Wellington, Auckland",314,1140000,-36.89394,174.8433845,7006363,48,15,30,36,9,21,Mount Wellington
4,2,"40 Constellation Avenue Beachlands, Auckland",872,1245000,-36.8842814,175.0094947,7007062,48,3,15,30,12,9,Beachlands
3,2,"10 Elizabeth Drive West Harbour, Auckland",388,680000,-36.8218485,174.6252384,7003777,39,30,21,15,15,9,West Harbour
5,3,"139d Long Drive St Heliers, Auckland",416,2300000,-36.8603424,174.8532553,7006416,48,12,24,30,18,39,St Heliers
4,3,"9b Allendale Road Mount Albert, Auckland",254,2175000,-36.8846936,174.7175628,7004622,36,21,24,30,18,24,Mount Albert
4,3,"9c Allendale Road Mount Albert, Auckland",254,2775000,-36.8846936,174.7175628,7004622,36,21,24,30,18,24,Mount Albert
6,3,"34d Arney Crescent Remuera, Auckland",602,6400000,-36.8699368,174.7889205,7005846,36,6,6,18,21,30,Remuera
3,2,"5 Gerda Place Ranui, Auckland",742,950000,-36.8734548,174.5973287,7003490,36,27,21,24,27,36,Ranui
3,2,"13b Kelsey Crescent Hillsborough, Auckland",186,900000,-36.9201159,174.7596961,7007767,78,42,54,36,30,42,Hillsborough
4,3,"2/7 Ferguson Street Mangere, Auckland",204,640000,-36.9633767,174.8271193,7008282,69,36,15,21,12,15,Mangere East
4,3,"3/7 Ferguson Street Mangere, Auckland",204,640000,-36.9633767,174.8271193,7008282,69,36,15,21,12,15,Mangere East
4,2,"71 Roberta Avenue Glendowie, Auckland",902,2450000,-36.8686782,174.8757624,7006644,39,15,9,27,30,27,Glendowie
3,1,"254 West Tamaki Road Glendowie, Auckland",921,1600000,-36.8687323,174.8755048,7006644,39,15,9,27,30,27,Wai O Taiki Bay
3,1,"20 Pasadena Avenue Point Chevalier, Auckland",714,1450000,-36.8663135,174.7172836,7004584,63,21,21,36,33,18,Point Chevalier
5,3,"121 Kawakawa Bay Coast Road Kawakawa Bay, Auckland",1501,1730000,-36.9344967,175.1875645,7007094,15,15,3,15,36,33,Kawakawa Bay
4,2,"44 Searle Drive Patumahoe, Auckland",2566,1250000,-37.1829197,174.8261951,7010325,90,21,63,48,27,48,Patumahoe
4,2,"2 Mirabell Place Patumahoe, Auckland",695,930000,-37.1853453,174.8271943,7010325,90,21,63,48,27,48,Patumahoe
3,1,"2/45 Seabrook Avenue New Lynn, Auckland",150,710000,-36.9153926,174.6740353,7007358,57,42,27,33,24,33,New Lynn
4,2,"42 Parrish Road Sandringham, Auckland",133,1280000,-36.8817233,174.743893,7004990,57,30,15,27,30,15,Sandringham
2,1,"39 Edenvale Crescent Mount Eden, Auckland",359,1400000,-36.8713508,174.7592943,7005389,30,27,39,21,6,12,Mount Eden
4,2,"15a Rawhitiroa Road Kohimarama, Auckland",400,1800000,-36.8546877,174.8386994,7006292,33,6,12,18,21,36,Kohimarama
3,2,"29 Onetangi Road Onetangi, Auckland",1618,1080000,-36.7933277,175.0791116,7003392,39,9,24,21,24,51,Onetangi
4,2,"65 Matairangi Avenue Totara Heights, Auckland",253,720000,-37.0017271,174.9036267,7009753,45,33,24,21,30,30,Totara Heights
4,2,"42 Tawini Road Titirangi, Auckland",2856,1270000,-36.9313836,174.6375088,7007210,54,12,15,30,24,18,Titirangi
7,4,"407 Ormiston Road Flat Bush, Auckland",399,1450000,-36.96827,174.9306696,7009312,126,72,90,51,36,42,Flat Bush
4,2,"297a Mount Albert Road Sandringham, Auckland",115,1000000,-36.9011595,174.7359376,7005056,57,36,30,18,15,24,Wesley
3,3,"15 Malmo Place Manurewa, Auckland",635,710000,-37.0205915,174.8684589,7009455,96,39,21,33,15,21,Manurewa
4,2,"27 Westminster Gardens Unsworth Heights, Auckland",600,1055000,-36.7593163,174.7118647,7002590,66,33,39,27,42,51,Unsworth Heights
5,2,"13 Rogers Avenue Eastern Beach, Auckland",883,1560000,-36.8751058,174.9141234,7006877,30,15,12,18,39,45,Eastern Beach
3,2,"59/386 Richmond Road Grey Lynn, Auckland",130,720000,-36.8563101,174.730722,7004733,21,39,39,21,21,12,Grey Lynn
5,5,"62 Manuel Road Silverdale, Auckland",659,1750000,-36.6050069,174.6740986,7001456,66,21,21,33,18,18,Silverdale
5,4,"4 Tawatawa Street Long Bay, Auckland",557,1675000,-36.6810931,174.7388792,7001929,27,12,21,21,12,21,Long Bay
5,4,"35 Bounty Road Long Bay, Auckland",608,2075000,-36.6859476,174.7427924,7001929,27,12,21,21,12,21,Long Bay
4,1,"10 Fisher Street Surfdale, Auckland",862,1000000,-36.7900147,175.0272839,7003355,30,24,15,24,21,24,Surfdale
3,1,"19 Beresford Avenue Surfdale, Auckland",1055,830000,-36.7893761,175.0281423,7003355,30,24,15,24,21,24,Surfdale
3,2,"29d Kamara Road Glen Eden, Auckland",402,710000,-36.9114342,174.6378628,7007169,57,18,36,33,15,18,Glen Eden
3,1,"16 School Road Kingsland, Auckland",701,1425000,-36.8718357,174.7366601,7004963,48,54,51,27,12,12,Morningside
3,2,"Remuera  Auckland City  1072 Remuera, Auckland",256,3275000,-36.8807382,174.7981463,7005843,12,12,6,9,15,33,Remuera
3,1,"11d Monteith Crescent Remuera, Auckland",285,880000,-36.8815435,174.8228154,7006221,36,27,27,24,9,33,Remuera
5,4,"5 Takurua Terrace Orewa, Auckland",452,1175000,-36.5805969,174.6722249,7001429,36,6,12,27,18,33,Orewa
2,1,"1/42b Candia Road Swanson, Auckland",605,640000,-36.871876,174.5890894,7003489,66,21,33,27,6,9,Swanson
3,1,"33 Wairau Avenue Avondale, Auckland",1343,1335000,-36.8930616,174.6863771,7004336,66,42,33,27,21,21,Avondale
5,3,"585 Great South Road Drury, Auckland",766,965000,-37.0932056,174.9445781,7010149,87,45,57,45,30,45,Rosehill
4,1,"50 Oraha Road Kumeu, Auckland",1437,920000,-36.7698871,174.5509508,7002193,30,12,12,18,15,15,Huapai
4,2,"12 Robert Might Road Huapai, Auckland",702,1150000,-36.7627163,174.5340476,7002170,84,30,54,36,42,42,Kumeu
4,2,"40j Konini Road Titirangi, Auckland",451,1260000,-36.9270196,174.6492794,7007264,75,18,18,51,33,24,Titirangi
2,2,"223 Green Lane West Epsom, Auckland",123,18000000,-36.8927725,174.7797911,7005755,3,9,15,6,15,21,Epsom
5,4,"12b Walpole Street Ellerslie, Auckland",505,1600000,-36.8931018,174.8022017,7006015,33,18,24,30,30,21,Ellerslie
4,2,"87 Naylors Drive Mangere, Auckland",221,720000,-36.982632,174.796744,7008064,123,51,48,27,24,21,Mangere
4,,"14 Hea Road Hobsonville, Auckland",214,1250000,-36.7983712,174.64743,7002267,60,66,60,24,24,18,Hobsonville
4,2,"12 Hea Road Hobsonville, Auckland",191,530000,-36.7983712,174.64743,7002267,60,66,60,24,24,18,Hobsonville
4,,"16 Hea Road Hobsonville, Auckland",245,1100000,-36.7983712,174.64743,7002267,60,66,60,24,24,18,Hobsonville
2,1,"1/67 Buckland Road Mangere, Auckland",80,580000,-36.9718136,174.8320786,7008292,54,30,39,15,27,39,Mangere East
3,2,"89 Kauri Point Road Laingholm, Auckland",1528,770000,-36.9772792,174.6316772,7007165,27,3,18,30,15,12,Laingholm
1,1,"3x/15 Nelson Street Auckland Central, Auckland",54,560000,-36.8466718,174.7599681,7005288,6,63,60,18,18,18,Auckland Central
4,1,"768 South Titirangi Road Titirangi, Auckland",2342,1360000,-36.9586578,174.6493112,7007292,36,15,9,21,21,33,Titirangi
3,1,"1103 Scenic Drive North Swanson, Auckland",1884,720000,-36.8745465,174.550974,7003426,33,24,15,24,39,36,Swanson
4,2,"37 Bleakhouse Road Mellons Bay, Auckland",847,2000000,-36.8910258,174.9220065,7006898,45,27,24,24,42,45,Howick
5,3,"35 Bleakhouse Road Mellons Bay, Auckland",1629,2300000,-36.890492,174.9226706,7006898,45,27,24,24,42,45,Howick
3,1,"20 Oriana Avenue Lynfield, Auckland",293,700000,-36.9294147,174.7245278,7007635,66,45,39,30,24,27,Lynfield
6,4,"44 Hughs Way Flat Bush, Auckland",409,1375000,-36.9761204,174.9157279,7009087,117,81,90,60,27,39,Flat Bush
4,2,"27 Mcculloch Road Panmure, Auckland",650,870000,-36.8948354,174.8591483,7006591,21,9,15,3,24,12,Panmure
4,2,"31 Pine Harbour Parade Beachlands, Auckland",815,1425000,-36.8852007,174.9893001,7007031,57,12,6,45,30,33,Beachlands
4,3,"1/117 Shelly Beach Road St Marys Bay, Auckland",275,1825000,-36.8400283,174.7420513,7004858,12,24,36,15,27,45,Saint Marys Bay
3,1,"111 Shelly Beach Road, Auckland",1300 m²,3600000,-36.8402456,174.7421394,7004858,12,24,36,15,27,45,Saint Marys Bay
3,2,"556 Great North Road Grey Lynn, Auckland",179,1575000,-36.8659995,174.7375053,7004944,30,33,33,18,15,15,Grey Lynn
3,1,"23/340 Gulf Harbour Drive Gulf Harbour, Auckland",89,410000,-36.6143145,174.8032398,7001718,36,21,30,24,21,36,Gulf Harbour
4,2,"19 Muirlea Drive Flat Bush, Auckland",644,1100000,-36.9593057,174.9341799,7009287,108,39,72,69,30,33,Flat Bush
5,3,"9 Melness Place Flat Bush, Auckland",539,1225000,-36.9595355,174.9341057,7009287,108,39,72,69,30,33,Flat Bush
3,1,"161a Don Buck Road Massey, Auckland",451,640000,-36.8495702,174.6102219,7003661,57,21,36,21,15,18,Massey
3,2,"70 Fairclough Road Beach Haven, Auckland",1006,870000,-36.7925349,174.6953357,7002430,48,21,24,30,18,21,Beach Haven
3,2,"40a Glenfern Road Mellons Bay, Auckland",809,1325000,-36.8906925,174.9348078,7006944,27,9,12,12,12,45,Mellons Bay
3,1,"2/26 Caravelle Close Mangere, Auckland",80,500000,-36.9624846,174.793161,7008027,93,39,18,24,24,24,Mangere
3,1,"86 Williamson Avenue Grey Lynn, Auckland",556,1950000,-36.8621594,174.7428092,7004935,33,39,39,21,27,9,Grey Lynn
5,2,"31 Elgin Street Grey Lynn, Auckland",471,2075000,-36.8632281,174.7416011,7004935,33,39,39,21,27,9,Grey Lynn
4,3,"24/21 Birdwood Crescent Parnell, Auckland",195,1450000,-36.8589527,174.7800434,7005693,30,51,48,21,15,15,Parnell
4,2,"2284d Hunua Road Papakura, Auckland",1603,740000,-37.0793779,175.0703464,7010283,57,30,24,27,21,39,Hunua
4,2,"38 Hadley Wood Drive Wattle Downs, Auckland",574,1000000,-37.052032,174.8772789,7009609,117,36,69,57,51,42,Wattle Downs
3,1,"1/12 Marewa Street Te Atatu South, Auckland",89,420000,-36.8549925,174.643131,7003952,45,30,21,21,18,21,Te Atatu South
4,1,"4 Paton Avenue Te Atatu South, Auckland",814,840000,-36.855803,174.642841,7003952,45,30,21,21,18,21,Te Atatu South
3,1,"1/9 Marewa Street Te Atatu South, Auckland",90,600000,-36.8547334,174.643806,7003952,45,30,21,21,18,21,Te Atatu South
3,1,"3/56 Watts Road Manurewa, Auckland",80,450000,-37.0165899,174.8721467,7009446,75,54,24,27,15,30,Manurewa
5,3,"6 Maraeariki Avenue Orewa, Auckland",581,1100000,-36.5815524,174.6899519,7001488,24,12,9,12,15,36,Orewa
2,1,"6/723 Remuera Road Remuera, Auckland",79,820000,-36.8791334,174.8226494,7006220,33,24,27,30,6,18,Remuera
3,1,"29 Dewhurst Place Favona, Auckland",360,660000,-36.952785,174.803846,7008085,57,24,27,18,21,27,Favona
5,2,"2 San Luis Place Golflands, Auckland",650,1325000,-36.9230544,174.9049592,7009011,39,27,30,21,27,27,Golflands
4,2,"5 Juliet Avenue Howick, Auckland",675,1150000,-36.8975677,174.9186666,7006910,48,33,30,21,24,21,Howick
4,3,"1/17 Lydia Avenue Northcote, Auckland",150,990000,-36.8029137,174.7339765,7002962,27,15,36,18,15,30,Northcote
5,3,"12 Camp X Place Whenuapai, Auckland",315,1100000,-36.7905871,174.6171225,7002238,66,162,63,24,12,21,Whenuapai
2,2,"4b/15 Fleet Street Eden Terrace, Auckland",103,750000,-36.8637961,174.7559946,7005364,15,57,72,18,6,6,Eden Terrace
4,3,"2/32 Gills Road Bucklands Beach, Auckland",450,1280000,-36.8898387,174.9178477,7006891,39,12,18,21,33,30,Bucklands Beach
3,2,"2/29 Carlisle Road Torbay, Auckland",140,900000,-36.7099423,174.740653,7002059,36,33,33,30,30,51,Torbay
4,2,"15 Markham Place Bucklands Beach, Auckland",974,1380000,-36.859434,174.9019444,7006767,33,12,9,21,30,30,Bucklands Beach
3,2,"Lot 2/166 Ennis Avenue Pakuranga, Auckland",178,1195000,-36.9193537,174.8890656,7008816,75,39,51,30,27,33,Pakuranga Heights
3,2,"86 Holly Street Avondale, Auckland",1077,1025000,-36.8871285,174.6916029,7004332,33,30,24,27,12,18,Avondale
4,1,"94A Holly Street, Auckland",550 m²,850000,-36.8874761,174.6913819,7004332,33,30,24,27,12,18,Avondale
4,3,"200 Ridge Road Howick, Auckland",417,1260000,-36.9002271,174.9206737,7006919,30,15,12,15,18,57,Howick
3,1,"2/14 Ruth Street Manurewa, Auckland",80,500000,-37.0172609,174.8888927,7009658,78,90,48,24,24,30,Manurewa
5,4,"364 Pinecrest Drive Gulf Harbour, Auckland",1047,3000000,-36.6246261,174.8034086,7001722,27,18,27,12,9,33,Gulf Harbour
4,2,"79a Atkin Avenue Mission Bay, Auckland",576,1900000,-36.8551181,174.8282444,7006174,39,15,27,33,18,42,Mission Bay
3,1,"95 Keegan Drive Massey, Auckland",335,540000,-36.8444566,174.6231946,7003825,57,24,24,30,15,12,Massey
3,1,"5/108 Station Road Papatoetoe, Auckland",80,480000,-36.973832,174.8415098,7008409,63,39,39,21,15,12,Papatoetoe
3,1,"3/85a Tidal Road Mangere, Auckland",70,490000,-36.9799062,174.8256274,7008227,60,30,27,21,12,27,Mangere
4,1,"40 Harlston Road Mount Albert, Auckland",129,1775000,-36.8950614,174.7102565,7004514,33,21,15,27,15,21,Mount Albert
3,1,"1/31 Thomas Road Mangere, Auckland",80,500000,-36.9733379,174.7957699,7008037,96,27,39,33,27,24,Mangere
3,1,"21 Fairmount Road Titirangi, Auckland",495,690000,-36.9198839,174.6613211,7007316,24,6,24,15,6,15,Titirangi
4,2,"142 Hill Road The Gardens, Auckland",848,890000,-37.0119556,174.9131413,7009845,45,39,24,21,36,27,Manurewa
2,1,"5/103 Hinemoa Street Birkenhead, Auckland",90,630000,-36.8170459,174.7326281,7004846,24,18,15,15,30,30,Birkenhead
3,1,"25/955 Mount Eden Road Three Kings, Auckland",86,490000,-36.9018811,174.7589353,7005469,9,21,15,18,3,42,Three Kings
4,4,"48 Kings Road Three Kings, Auckland",697,1425000,-36.8988174,174.7495922,7005232,24,33,27,15,12,9,Mount Roskill
5,5,"50 Braemar Road Rothesay Bay, Auckland",415,2300000,-36.7250247,174.7481043,7002080,48,39,24,30,33,27,Rothesay Bay
3,1,"1/112 New Windsor Road New Windsor, Auckland",73,650000,-36.9028184,174.709662,7004527,45,30,30,21,21,24,New Windsor
3,1,"2/28 Gloucester Road Manurewa, Auckland",90,495000,-37.0155102,174.8775816,7009543,66,45,27,12,27,30,Manurewa
5,4,"17 Greenbank Drive St Johns, Auckland",740,2625000,-36.8754184,174.8349235,7006333,45,24,6,33,27,39,Saint Johns
5,2,"25 Seymour Avenue Papatoetoe, Auckland",809,1100000,-36.9652988,174.8579734,7008515,78,63,60,27,30,48,Papatoetoe
5,3,"20 Clive Road Epsom, Auckland",1310,3900000,-36.8735266,174.7670636,7005561,90,33,12,15,27,45,Epsom
4,3,"1b Roby Street Te Atatu Peninsula, Auckland",303,1160000,-36.8382827,174.6545097,7004216,39,12,24,24,12,24,Te Atatu Peninsula
3,1,"31 Hereford Street Te Atatu Peninsula, Auckland",675,980000,-36.8384958,174.6546437,7004216,39,12,24,24,12,24,Te Atatu Peninsula
4,2,"6 Mansion Court West Harbour, Auckland",502,1150000,-36.8140262,174.6412919,7002280,60,36,18,36,42,36,West Harbour
3,1,"3a Mclennan Road Mount Wellington, Auckland",80,580000,-36.9273044,174.8495935,7008448,57,45,33,21,18,21,Mount Wellington
3,1,"6a Dennis Road Papatoetoe, Auckland",353,1450000,-36.9773939,174.8751068,7008765,33,39,21,12,21,3,Papatoetoe
5,3,"10 Paripari Street Flat Bush, Auckland",325,660000,-36.9801712,174.9361137,7009314,21,18,9,15,6,6,Flat Bush
7,5,"17 Golden Avenue Flat Bush, Auckland",398,700000,-36.9766548,174.9241208,7009314,21,18,9,15,6,6,Flat Bush
7,5,"7 Ballinabreen Road Flat Bush, Auckland",428,1475000,-36.9806461,174.9295512,7009314,21,18,9,15,6,6,Flat Bush
5,4,"27 Paripari Street Flat Bush, Auckland",325,660000,-36.9794367,174.9359015,7009314,21,18,9,15,6,6,Flat Bush
5,4,"28 Matahae Drive Flat Bush, Auckland",325,660000,-36.9798673,174.935215,7009314,21,18,9,15,6,6,Flat Bush
4,2,"1/12 Shera Road Remuera, Auckland",180,1625000,-36.873373,174.7933756,7005832,57,27,15,18,30,27,Remuera
5,3,"46 St Marys Road St Marys Bay, Auckland",632,4650000,-36.8457582,174.745697,7005079,30,15,24,36,39,51,Saint Marys Bay
3,1,"3 Midgley Road West Harbour, Auckland",383,750000,-36.8200841,174.6256524,7003775,69,21,42,18,9,6,West Harbour
3,2,"67 Middleton Road Remuera, Auckland",391,2125000,-36.868233,174.7830276,7005719,24,24,18,18,24,12,Remuera
3,2,"309 Victoria Street West Pukekohe, Auckland",314,280000,-37.2066601,174.8845192,7010468,87,60,81,45,39,42,Pukekohe
4,2,"7 Tamatea Drive Snells Beach, Auckland",556,740000,-36.4140858,174.7242024,7001328,57,15,27,33,30,105,Snells Beach
3,2,"17 Matangi Terrace Snells Beach, Auckland",810,810000,-36.4148331,174.7238749,7001328,57,15,27,33,30,105,Snells Beach
6,3,"89 Pacific Parade Army Bay, Auckland",852,1325000,-36.6026993,174.802068,7001700,45,15,24,33,39,54,Army Bay
3,1,"28 Te Arawa Street Orakei, Auckland",141,1300000,-36.8531726,174.8246433,7006154,27,24,24,15,18,24,Orakei
4,1,"26 Donzella Place Conifer Grove, Auckland",808,840000,-37.0491525,174.9108138,7009903,33,15,12,15,21,33,Conifer Grove
5,3,"26a Vanessa Crescent Glendowie, Auckland",1148,4000000,-36.8685549,174.8798402,7006673,45,15,9,27,21,45,Glendowie
3,2,"42a Elizabeth Street Tuakau, Auckland",985,1425000,-37.2612474,174.9389388,7010984,30,12,15,18,15,27,Tuakau
4,2,"4 Rees Way Tuakau, Auckland",433,670000,-37.262183,174.9402622,7010984,30,12,15,18,15,27,Tuakau
4,3,"21 Michaels Avenue Ellerslie, Auckland",628,1650000,-36.8958961,174.8203653,7006127,39,27,27,30,15,12,Ellerslie
4,2,"37 Cheriton Road Mellons Bay, Auckland",809,1425000,-36.8871669,174.9281837,7006939,39,15,15,18,33,45,Mellons Bay
3,1,"9 Dublin Street Pukekohe, Auckland",392,530000,-37.1970898,174.9005173,7010357,45,27,33,15,24,39,Pukekohe
5,4,"73b Shore Road Remuera, Auckland",1272,4300000,-36.8648621,174.7985754,7005821,39,18,12,18,30,30,Remuera
4,3,"6 Keiha Crescent Massey, Auckland",408,920000,-36.8281956,174.6150304,7003619,84,51,69,60,36,39,Massey
2,2,"806/39-47 Union Street Auckland Central, Auckland",80,700000,-36.8516708,174.7560052,7005291,57,270,138,30,15,18,Auckland Central
2,2,"908/39-47 Union Street Auckland Central, Auckland",80,430000,-36.8516708,174.7560052,7005291,57,270,138,30,15,18,Auckland Central
4,1,"51 Ashgrove Road Mangere, Auckland",969,670000,-36.970082,174.8052558,7008126,42,27,12,12,12,9,Mangere
4,2,"4 Korama Lane New Lynn, Auckland",101,900000,-36.9043318,174.6838442,7004358,33,60,45,24,27,36,New Lynn
4,2,"14 Korama Lane New Lynn, Auckland",122,920000,-36.9043318,174.6838442,7004358,33,60,45,24,27,36,New Lynn
4,2,"8 Korama Lane New Lynn, Auckland",176,940000,-36.9043318,174.6838442,7004358,33,60,45,24,27,36,New Lynn
4,2,"10 Korama Lane New Lynn, Auckland",101,900000,-36.9043318,174.6838442,7004358,33,60,45,24,27,36,New Lynn
4,2,"9c Tomes Lane Favona, Auckland",405,500000,-36.9530178,174.813736,7008092,72,27,15,24,18,6,Favona
3,2,"6/71 Kolmar Road Papatoetoe, Auckland",108,1000000,-36.974782,174.8565882,7008640,63,72,42,30,21,48,Papatoetoe
7,2,"43-45 Walters Road Takanini, Auckland",2410,600000,-37.0490801,174.9347277,7010037,54,42,33,21,15,24,Takanini
3,2,"118 Reihana Street Orakei, Auckland",89,2075000,-36.8604806,174.8216994,7006043,36,24,27,18,27,39,Orakei
3,2,"118 Reihana Street Orakei, Auckland",89,2075000,-36.8604806,174.8216994,7006043,36,24,27,18,27,39,Orakei
4,2,"54 Beach Road Mellons Bay, Auckland",943,1790000,-36.8899244,174.9359161,7006986,54,18,15,33,24,39,Mellons Bay
